uce_id;uci_id;grupo;n_participantes;sexo_predominante_responsaveis;sexo_predominante_pacientexs;escolaridade_predominante;regiao_predominante;tumor_predominante;tempo_tto_faixa;desnutricao_grupo;sne_grupo;sne_xp_grupo;n_tokens;n_active;classe_py;classe_r
grupo1__uce0001;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;54;8;2;2
grupo1__uce0002;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;66;13;1;1
grupo1__uce0003;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;19;1;1
grupo1__uce0004;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;53;10;2;2
grupo1__uce0005;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;12;2;2
grupo1__uce0006;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;14;2;2
grupo1__uce0007;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;9;2;2
grupo1__uce0008;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;15;2;2
grupo1__uce0009;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;14;2;2
grupo1__uce0010;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;10;2;2
grupo1__uce0011;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;12;2;2
grupo1__uce0012;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;18;2;2
grupo1__uce0013;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;2;2
grupo1__uce0014;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;49;15;1;1
grupo1__uce0015;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;10;1;1
grupo1__uce0016;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;1;1
grupo1__uce0017;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;17;2;2
grupo1__uce0018;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12;2;2
grupo1__uce0019;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;60;21;2;2
grupo1__uce0020;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;12;2;2
grupo1__uce0021;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;68;12;2;2
grupo1__uce0022;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;5;2;2
grupo1__uce0023;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;63;7;1;1
grupo1__uce0024;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;51;12;1;1
grupo1__uce0025;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;56;9;3;3
grupo1__uce0026;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;14;1;1
grupo1__uce0027;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;8;1;3
grupo1__uce0028;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;9;2;2
grupo1__uce0029;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;40;11;1;1
grupo1__uce0030;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;11;2;2
grupo1__uce0031;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;58;12;2;2
grupo1__uce0032;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;57;16;2;2
grupo1__uce0033;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;16;1;1
grupo1__uce0034;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;47;9;1;1
grupo1__uce0035;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;13;1;1
grupo1__uce0036;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;12;1;1
grupo1__uce0037;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;45;11;1;1
grupo1__uce0038;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;41;13;1;1
grupo1__uce0039;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;12;1;1
grupo1__uce0040;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;11;1;1
grupo1__uce0041;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;52;10;1;1
grupo1__uce0042;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;58;10;1;1
grupo1__uce0043;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;9;1;1
grupo1__uce0044;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;8;1;1
grupo1__uce0045;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;60;17;1;1
grupo1__uce0046;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;5;2;2
grupo1__uce0047;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;13;1;1
grupo1__uce0048;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;46;12;1;1
grupo1__uce0049;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;13;1;1
grupo1__uce0050;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;45;8;1;3
grupo1__uce0051;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;7;1;1
grupo1__uce0052;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;48;11;1;1
grupo1__uce0053;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;51;9;1;3
grupo1__uce0054;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;43;7;1;3
grupo1__uce0055;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;65;15;1;3
grupo1__uce0056;grupo1;G1;6;feminino;masculino;medio;sudeste;solido;4-6 meses;1;0;1;42;6;2;2
grupo2__uce0000;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;48;6;1;1
grupo2__uce0001;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;62;8;1;1
grupo2__uce0002;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;55;11;1;1
grupo2__uce0003;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;9;1;1
grupo2__uce0004;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;11;2;2
grupo2__uce0005;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;51;9;2;2
grupo2__uce0006;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;7;1;1
grupo2__uce0007;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;13;1;1
grupo2__uce0008;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;10;2;2
grupo2__uce0009;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;11;1;1
grupo2__uce0010;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;79;19;2;2
grupo2__uce0011;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;42;13;1;1
grupo2__uce0012;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;40;11;2;2
grupo2__uce0013;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;10;2;2
grupo2__uce0014;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;61;13;2;2
grupo2__uce0015;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;64;13;2;2
grupo2__uce0016;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;12;2;2
grupo2__uce0017;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;13;2;2
grupo2__uce0018;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;14;2;2
grupo2__uce0019;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;53;7;2;2
grupo2__uce0020;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;12;1;1
grupo2__uce0021;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;51;10;2;2
grupo2__uce0022;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;50;9;1;1
grupo2__uce0023;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;10;1;1
grupo2__uce0024;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;10;1;1
grupo2__uce0025;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;9;1;1
grupo2__uce0026;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;10;1;1
grupo2__uce0027;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;43;6;1;1
grupo2__uce0028;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;10;1;1
grupo2__uce0029;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;61;17;1;1
grupo2__uce0030;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;58;13;1;1
grupo2__uce0031;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;43;9;1;1
grupo2__uce0032;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;9;1;1
grupo2__uce0033;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;12;2;2
grupo2__uce0034;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;8;1;1
grupo2__uce0035;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;73;13;1;1
grupo2__uce0036;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;54;15;1;1
grupo2__uce0037;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;15;1;1
grupo2__uce0038;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;6;1;3
grupo2__uce0039;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;7;2;2
grupo2__uce0040;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;10;1;1
grupo2__uce0041;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;56;11;1;1
grupo2__uce0042;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;12;1;1
grupo2__uce0043;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;45;9;1;1
grupo2__uce0044;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;14;1;1
grupo2__uce0045;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;40;13;2;2
grupo2__uce0046;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;42;14;2;2
grupo2__uce0047;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;16;2;2
grupo2__uce0048;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;47;13;2;2
grupo2__uce0049;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;5;1;1
grupo2__uce0050;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;40;15;2;2
grupo2__uce0051;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;54;5;1;3
grupo2__uce0052;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;7;1;1
grupo2__uce0053;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;61;18;1;1
grupo2__uce0054;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;52;10;1;1
grupo2__uce0055;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;41;11;1;1
grupo2__uce0056;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;43;8;1;1
grupo2__uce0057;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;7;1;1
grupo2__uce0058;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;12;2;2
grupo2__uce0059;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;44;11;1;1
grupo2__uce0060;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;44;10;2;2
grupo2__uce0061;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;56;11;3;3
grupo2__uce0062;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;46;11;3;3
grupo2__uce0063;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;75;21;1;1
grupo2__uce0064;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;10;2;2
grupo2__uce0065;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;44;12;2;2
grupo2__uce0066;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;64;18;2;2
grupo2__uce0067;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;51;12;2;2
grupo2__uce0068;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;49;12;2;2
grupo2__uce0069;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;48;15;2;2
grupo2__uce0070;grupo2;G2;6;masculino;masculino;superior;norte;solido;4-6 meses;1;0;1;50;16;2;2
grupo3__uce0000;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;54;16;1;1
grupo3__uce0001;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;14;1;1
grupo3__uce0002;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;56;17;2;2
grupo3__uce0003;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;41;10;1;1
grupo3__uce0004;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;43;7;2;2
grupo3__uce0005;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;58;18;2;2
grupo3__uce0006;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;46;11;2;2
grupo3__uce0007;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;45;10;1;1
grupo3__uce0008;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;9;1;1
grupo3__uce0009;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;7;1;1
grupo3__uce0010;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;54;12;1;1
grupo3__uce0011;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;41;12;1;1
grupo3__uce0012;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;48;16;1;1
grupo3__uce0013;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;56;13;2;2
grupo3__uce0014;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;7;2;2
grupo3__uce0015;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;60;16;2;2
grupo3__uce0016;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;15;2;2
grupo3__uce0017;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;58;13;2;2
grupo3__uce0018;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;53;14;2;2
grupo3__uce0019;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;67;20;2;2
grupo3__uce0020;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;50;15;1;1
grupo3__uce0021;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;55;15;1;1
grupo3__uce0022;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;48;19;2;2
grupo3__uce0023;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;43;11;1;1
grupo3__uce0024;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;57;15;1;1
grupo3__uce0025;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;55;20;1;1
grupo3__uce0026;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;50;8;1;3
grupo3__uce0027;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;65;14;1;3
grupo3__uce0028;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;51;8;1;1
grupo3__uce0029;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;10;1;1
grupo3__uce0030;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;41;7;1;1
grupo3__uce0031;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;50;13;1;1
grupo3__uce0032;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;46;10;1;1
grupo3__uce0033;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;58;12;2;2
grupo3__uce0034;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;53;14;1;1
grupo3__uce0035;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;65;15;1;1
grupo3__uce0036;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;46;10;1;1
grupo3__uce0037;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;51;11;1;1
grupo3__uce0038;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;75;17;1;1
grupo3__uce0039;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;40;6;2;2
grupo3__uce0040;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;45;5;3;3
grupo3__uce0041;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;12;3;3
grupo3__uce0042;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;8;1;3
grupo3__uce0043;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;44;11;1;3
grupo3__uce0044;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;46;9;1;3
grupo3__uce0045;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;40;8;1;1
grupo3__uce0046;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;7;3;3
grupo3__uce0047;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;66;17;3;1
grupo3__uce0048;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;54;13;2;2
grupo3__uce0049;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;8;3;3
grupo3__uce0050;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;80;14;1;1
grupo3__uce0051;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;47;8;1;1
grupo3__uce0052;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;64;9;1;1
grupo3__uce0053;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;42;5;1;1
grupo3__uce0054;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;45;8;1;1
grupo3__uce0055;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;46;6;1;1
grupo3__uce0056;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;43;3;1;1
grupo3__uce0057;grupo3;G3;6;feminino;feminino;medio;centro-oeste;solido;0-3 meses;3;1;1;21;7;3;3
grupo5__uce0000;grupo5;G5;6;feminino;feminino;medio;sudeste;solido;0-3 meses;2;0;2;62;5;2;2
grupo5__uce0001;grupo5;G5;6;feminino;feminino;medio;sudeste;solido;0-3 meses;2;0;2;41;3;1;1
grupo5__uce0002;grupo5;G5;6;feminino;feminino;medio;sudeste;solido;0-3 meses;2;0;2;59;12;2;2
