;aceitar;ajudar;alimentação;bastante;bater;beber;bem;besteira;boca;casa;cheiro;comer;começar;comida;conseguir;câncer;deus;diferente;dificuldade;doce;doutor;enjoar;entender;forçar;fruta;gastrostomia;gostar;graça;higiene;hospital;internar;legume;leite;mal;manter;medo;menos;mudar;nunca;náusea;observar;passar;perder;peso;problema;querer;questão;quimioterapia;remédio;sair;semana;sentir;sonda;suplemento;tomar;tratamento;verdura;voltar;vomitar;água
aceitar;0.0;3.0;3.0;2.0;2.0;1.0;5.0;1.0;0.0;2.0;0.0;16.0;4.0;3.0;1.0;0.0;2.0;2.0;5.0;5.0;1.0;1.0;0.0;1.0;9.0;6.0;2.0;2.0;0.0;1.0;2.0;5.0;4.0;1.0;2.0;0.0;1.0;2.0;1.0;2.0;1.0;8.0;3.0;6.0;0.0;7.0;1.0;2.0;2.0;2.0;1.0;1.0;7.0;7.0;8.0;0.0;3.0;2.0;2.0;4.0
ajudar;3.0;0.0;1.0;7.0;1.0;1.0;1.0;0.0;1.0;1.0;0.0;8.0;4.0;1.0;1.0;4.0;2.0;1.0;4.0;0.0;1.0;1.0;2.0;1.0;2.0;5.0;2.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;0.0;3.0;0.0;1.0;0.0;0.0;6.0;2.0;3.0;0.0;1.0;2.0;3.0;3.0;0.0;1.0;1.0;5.0;12.0;6.0;1.0;1.0;2.0;2.0;1.0
alimentação;3.0;1.0;0.0;4.0;0.0;1.0;5.0;1.0;0.0;3.0;2.0;19.0;4.0;7.0;5.0;5.0;1.0;2.0;10.0;1.0;0.0;0.0;1.0;1.0;3.0;0.0;2.0;1.0;1.0;0.0;0.0;1.0;0.0;2.0;4.0;1.0;3.0;2.0;0.0;1.0;1.0;4.0;1.0;2.0;0.0;3.0;2.0;6.0;1.0;2.0;1.0;4.0;6.0;8.0;8.0;4.0;2.0;4.0;1.0;3.0
bastante;2.0;7.0;4.0;0.0;1.0;0.0;6.0;1.0;0.0;2.0;0.0;12.0;2.0;2.0;1.0;2.0;1.0;2.0;3.0;0.0;0.0;1.0;0.0;1.0;2.0;0.0;5.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;1.0;2.0;1.0;4.0;2.0;3.0;0.0;2.0;2.0;5.0;2.0;0.0;1.0;3.0;1.0;6.0;3.0;2.0;1.0;3.0;3.0;0.0
bater;2.0;1.0;0.0;1.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;3.0;0.0;1.0;1.0;2.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;0.0;1.0;1.0;0.0;2.0;2.0;2.0;0.0;0.0;3.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;2.0;1.0;1.0;1.0;3.0;1.0;0.0;1.0;0.0;3.0;0.0;0.0;0.0;0.0;1.0
beber;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;6.0;1.0;2.0;3.0;0.0;0.0;0.0;3.0;3.0;1.0;1.0;0.0;0.0;4.0;1.0;4.0;0.0;0.0;1.0;1.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;2.0;0.0;2.0;0.0;1.0;1.0;1.0;1.0;4.0;5.0;2.0;2.0;0.0;1.0;3.0
bem;5.0;1.0;5.0;6.0;3.0;1.0;0.0;3.0;2.0;4.0;2.0;28.0;7.0;10.0;8.0;1.0;2.0;1.0;8.0;2.0;1.0;1.0;2.0;4.0;5.0;2.0;5.0;2.0;2.0;2.0;3.0;5.0;2.0;1.0;4.0;1.0;2.0;4.0;2.0;3.0;2.0;7.0;4.0;5.0;3.0;11.0;3.0;7.0;1.0;0.0;0.0;1.0;5.0;5.0;12.0;4.0;4.0;3.0;4.0;4.0
besteira;1.0;0.0;1.0;1.0;0.0;0.0;3.0;0.0;1.0;2.0;1.0;11.0;2.0;6.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;2.0;0.0;0.0;5.0;0.0;6.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;1.0;0.0;0.0;2.0;1.0;1.0;0.0;1.0;0.0;0.0;1.0;11.0;0.0;2.0;0.0;0.0;1.0;0.0;1.0;0.0;4.0;1.0;3.0;0.0;0.0;2.0
boca;0.0;1.0;0.0;0.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;7.0;2.0;2.0;2.0;0.0;0.0;0.0;2.0;2.0;0.0;0.0;2.0;1.0;2.0;0.0;3.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;2.0;1.0;2.0;0.0;1.0;3.0;2.0;7.0;0.0;1.0;2.0;1.0;1.0
casa;2.0;1.0;3.0;2.0;1.0;1.0;4.0;2.0;0.0;0.0;1.0;9.0;1.0;2.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;3.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;1.0;1.0;0.0;0.0;5.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;1.0
cheiro;0.0;0.0;2.0;0.0;1.0;0.0;2.0;1.0;0.0;1.0;0.0;7.0;4.0;4.0;3.0;0.0;0.0;1.0;4.0;4.0;0.0;1.0;0.0;0.0;2.0;0.0;5.0;0.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;0.0;1.0;5.0;0.0;3.0;0.0;0.0;0.0;4.0;0.0;2.0;3.0;1.0;0.0;0.0;1.0;1.0
comer;16.0;8.0;19.0;12.0;3.0;6.0;28.0;11.0;7.0;9.0;7.0;0.0;18.0;26.0;15.0;4.0;6.0;6.0;23.0;15.0;4.0;8.0;2.0;6.0;25.0;3.0;21.0;5.0;2.0;7.0;8.0;12.0;8.0;6.0;8.0;3.0;10.0;8.0;4.0;7.0;4.0;20.0;13.0;14.0;8.0;39.0;8.0;22.0;4.0;4.0;6.0;6.0;16.0;22.0;28.0;8.0;14.0;12.0;13.0;10.0
começar;4.0;4.0;4.0;2.0;0.0;1.0;7.0;2.0;2.0;1.0;4.0;18.0;0.0;2.0;4.0;2.0;2.0;0.0;10.0;4.0;2.0;1.0;2.0;3.0;5.0;4.0;6.0;2.0;2.0;2.0;2.0;0.0;3.0;2.0;0.0;5.0;2.0;4.0;3.0;1.0;2.0;7.0;2.0;6.0;2.0;10.0;3.0;12.0;3.0;1.0;4.0;2.0;11.0;10.0;14.0;10.0;2.0;3.0;6.0;7.0
comida;3.0;1.0;7.0;2.0;1.0;2.0;10.0;6.0;2.0;2.0;4.0;26.0;2.0;0.0;3.0;2.0;1.0;1.0;7.0;3.0;2.0;2.0;0.0;4.0;10.0;1.0;13.0;1.0;2.0;1.0;2.0;4.0;3.0;1.0;0.0;2.0;2.0;3.0;1.0;1.0;3.0;2.0;1.0;2.0;5.0;13.0;1.0;4.0;1.0;1.0;2.0;0.0;2.0;5.0;7.0;3.0;5.0;2.0;2.0;3.0
conseguir;1.0;1.0;5.0;1.0;1.0;3.0;8.0;0.0;2.0;0.0;3.0;15.0;4.0;3.0;0.0;0.0;2.0;0.0;5.0;3.0;0.0;1.0;2.0;3.0;1.0;0.0;4.0;2.0;0.0;1.0;2.0;3.0;1.0;1.0;1.0;4.0;1.0;2.0;1.0;3.0;1.0;4.0;3.0;5.0;0.0;5.0;2.0;6.0;2.0;0.0;2.0;3.0;8.0;7.0;13.0;1.0;1.0;0.0;3.0;1.0
câncer;0.0;4.0;5.0;2.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;4.0;2.0;2.0;0.0;0.0;1.0;2.0;4.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;0.0;0.0;2.0;0.0;0.0;2.0;0.0;1.0;2.0;1.0;1.0;0.0;1.0;1.0;2.0;2.0;0.0;0.0;0.0;2.0;2.0;3.0;3.0;0.0;1.0;0.0;1.0
deus;2.0;2.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;6.0;2.0;1.0;2.0;1.0;0.0;0.0;6.0;0.0;2.0;1.0;0.0;0.0;1.0;0.0;0.0;14.0;0.0;1.0;3.0;1.0;1.0;2.0;0.0;2.0;1.0;0.0;3.0;0.0;2.0;2.0;4.0;2.0;1.0;0.0;3.0;4.0;2.0;0.0;3.0;1.0;3.0;0.0;2.0;2.0;0.0;2.0;3.0;0.0
diferente;2.0;1.0;2.0;2.0;0.0;0.0;1.0;0.0;0.0;1.0;1.0;6.0;0.0;1.0;0.0;2.0;0.0;0.0;2.0;1.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;2.0;1.0;0.0;5.0;2.0;2.0;0.0;1.0;1.0;3.0;2.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0
dificuldade;5.0;4.0;10.0;3.0;1.0;3.0;8.0;0.0;2.0;0.0;4.0;23.0;10.0;7.0;5.0;4.0;6.0;2.0;0.0;2.0;2.0;5.0;2.0;3.0;4.0;0.0;4.0;6.0;1.0;2.0;5.0;2.0;0.0;1.0;1.0;2.0;2.0;2.0;3.0;3.0;4.0;6.0;4.0;3.0;0.0;9.0;2.0;9.0;4.0;1.0;3.0;4.0;11.0;9.0;17.0;7.0;4.0;4.0;2.0;1.0
doce;5.0;0.0;1.0;0.0;1.0;3.0;2.0;2.0;2.0;1.0;4.0;15.0;4.0;3.0;3.0;1.0;0.0;1.0;2.0;0.0;3.0;1.0;0.0;0.0;8.0;0.0;8.0;0.0;1.0;0.0;0.0;3.0;5.0;2.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;2.0;1.0;1.0;0.0;9.0;0.0;7.0;0.0;2.0;1.0;2.0;1.0;4.0;11.0;2.0;2.0;1.0;2.0;1.0
doutor;1.0;1.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;1.0;0.0;4.0;2.0;2.0;0.0;1.0;2.0;0.0;2.0;3.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;1.0;1.0;1.0;2.0;0.0;0.0;2.0;0.0;1.0;2.0;2.0;2.0;0.0;1.0;2.0;1.0;1.0;0.0;3.0;0.0;2.0;1.0;2.0;0.0;0.0;2.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0
enjoar;1.0;1.0;0.0;1.0;0.0;1.0;1.0;2.0;0.0;1.0;1.0;8.0;1.0;2.0;1.0;0.0;1.0;0.0;5.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;2.0;1.0;0.0;2.0;3.0;0.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;1.0;2.0;0.0;0.0;0.0;4.0;0.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;4.0;1.0;0.0;2.0;1.0;2.0
entender;0.0;2.0;1.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;2.0;2.0;0.0;2.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;1.0;2.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;1.0;1.0;4.0;0.0;5.0;3.0;0.0;1.0;2.0;7.0;5.0;7.0;1.0;1.0;0.0;2.0;0.0
forçar;1.0;1.0;1.0;1.0;0.0;0.0;4.0;0.0;1.0;0.0;0.0;6.0;3.0;4.0;3.0;0.0;0.0;0.0;3.0;0.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;0.0;0.0;0.0;3.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;1.0;3.0;1.0;3.0;0.0;4.0;0.0;1.0;0.0;1.0;1.0;2.0;5.0;4.0;8.0;1.0;1.0;3.0;0.0;3.0
fruta;9.0;2.0;3.0;2.0;4.0;4.0;5.0;5.0;2.0;1.0;2.0;25.0;5.0;10.0;1.0;1.0;1.0;1.0;4.0;8.0;1.0;0.0;2.0;1.0;0.0;2.0;8.0;1.0;4.0;3.0;2.0;8.0;3.0;2.0;2.0;1.0;1.0;3.0;1.0;0.0;0.0;4.0;0.0;1.0;1.0;14.0;1.0;6.0;0.0;2.0;2.0;2.0;4.0;7.0;9.0;1.0;13.0;2.0;1.0;8.0
gastrostomia;6.0;5.0;0.0;0.0;0.0;1.0;2.0;0.0;0.0;1.0;0.0;3.0;4.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;2.0;1.0;0.0;0.0;0.0;3.0;1.0;1.0;8.0;1.0;3.0;0.0;2.0;0.0;2.0;2.0;1.0;1.0;0.0;8.0;3.0;1.0;0.0;1.0;0.0;2.0;3.0
gostar;2.0;2.0;2.0;5.0;0.0;4.0;5.0;6.0;3.0;1.0;5.0;21.0;6.0;13.0;4.0;2.0;0.0;1.0;4.0;8.0;0.0;2.0;1.0;2.0;8.0;1.0;0.0;0.0;2.0;0.0;1.0;2.0;4.0;0.0;2.0;1.0;2.0;2.0;1.0;0.0;1.0;3.0;2.0;4.0;4.0;10.0;0.0;8.0;2.0;1.0;2.0;1.0;0.0;7.0;9.0;2.0;3.0;0.0;3.0;5.0
graça;2.0;1.0;1.0;1.0;1.0;0.0;2.0;0.0;0.0;0.0;0.0;5.0;2.0;1.0;2.0;0.0;14.0;0.0;6.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;2.0;1.0;1.0;2.0;0.0;2.0;1.0;0.0;1.0;0.0;2.0;1.0;4.0;2.0;1.0;0.0;3.0;4.0;2.0;0.0;2.0;1.0;2.0;0.0;2.0;2.0;0.0;2.0;3.0;0.0
higiene;0.0;0.0;1.0;1.0;1.0;0.0;2.0;2.0;0.0;0.0;1.0;2.0;2.0;2.0;0.0;2.0;0.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;2.0;0.0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;5.0
